Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1836,1471,Elisa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1472,Prova,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1473,Triunfo,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1474,Cristina,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1475,Escorpião,Gallinhas,"Cuba, port unspecified",278,245,,,
1836,1476,Tres Manuelas,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1477,Liberal,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1478,,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1479,Preciosa,Rio Pongo,"British Honduras, port unspecified",295,287,8,33,17
1836,1480,Galgo,Princes Island,Havana,607,550,,,
1836,1481,Maria Teresa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1482,Empresa,Congo River,"Bahamas, port unspecified",450,434,16,89,23
1836,1483,Fênix,Popo,"Grenada, place unspecified",515,484,31,,27
1836,1484,Negrita (a) Negrinha,Gallinhas,"Grenada, place unspecified",340,336,4,54,16
1836,1485,Constituição,"Africa, port unspecified",Havana,307,277,,,
1836,1486,Manuelita,São Tomé,Havana,523,471,,,35
1836,1487,Especulacion,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1488,Traga Milhas,Gallinhas,"Cuba, port unspecified",307,277,,,
1836,1489,Terpsicore,"Africa, port unspecified","Cuba, port unspecified",298,270,,,
1836,1490,Egerida,Mozambique,"Cuba, port unspecified",490,444,,,
1836,1491,Maria Segunda,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1492,Francisca,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1836,1493,Socorro,Mozambique,Havana,800,700,100,,65
1836,1494,General Laborde,"Africa, port unspecified",Trinidad de Cuba,334,300,,,22
1836,1495,Vencedora,Congo River,Rio de Janeiro,257,241,,34,
1836,1496,Perfídia,Luanda,Rio de Janeiro,617,542,,40,21
1836,1497,Firmeza,Ambriz,Rio de Janeiro,490,444,,39,13
1836,1498,Tejo,Luanda,Rio de Janeiro,490,444,,36,14
1837,1499,Tratado,"Africa, port unspecified",Sagua,351,316,,,19
1836,1500,,"Africa, port unspecified",Sagua,250,206,,,
1836,1501,D Maria Segunda,Luanda,Rio de Janeiro,411,369,,,
1836,1502,Ersínia,Benguela,Rio de Janeiro,307,277,,,
1836,1503,Portuense,Luanda,Rio de Janeiro,411,369,,,
1836,1504,Vinte e Seis de Maio,Luanda,Rio de Janeiro,401,367,,,
1836,1505,Caridade,Luanda,Rio de Janeiro,307,277,,,
1836,1506,Ontário,Luanda,Rio de Janeiro,411,369,,,
1836,1507,Luísa,Luanda,Rio de Janeiro,118,105,,,
1836,1508,Lealdade,Luanda,Rio de Janeiro,307,277,,,
1836,1509,Eugênia,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro,490,444,,52,25
1836,1510,Águia,Luanda,Rio de Janeiro,281,257,,,
1836,1511,Doze de Outubro,Benguela,Rio de Janeiro,411,369,,,
1836,1512,Pompeo,Luanda,Rio de Janeiro,411,369,,,
1836,1513,Júpiter,Luanda,Rio de Janeiro,307,277,,,
1836,1514,Triunfo,Luanda,Ilha de Lobes,359,325,,,
1836,1515,Brilhante,Quilimane,São Sebastião,400,325,75,,
1836,1516,Jacuí,Luanda,Rio de Janeiro,311,284,,,11
1836,1517,Minerva,Luanda,Ilha Grande,352,317,,,11
1836,1518,Brilhante,Quilimane,Campos,450,408,,,
1836,1519,Aventura,Luanda,Campos,472,428,,,15
1836,1520,Aventureira,Luanda,Taipu,438,397,,,13
1836,1521,D Joana,Ambriz,Ponta Negro,314,283,,,8
1836,1522,Silêncio,Luanda,"Americas, region unspecified",482,437,,,15
1836,1523,Flor do Rio,Luanda,Ilha Grande,352,314,,,13
1836,1524,S Joãozinho,Luanda,Ubatuba,317,285,,,10
1836,1525,Generozo,"West Central Africa and St. Helena, port unspecified",Campos,375,340,,,15
1836,1526,Temerário,Luanda,Ubatuba,461,418,,,13
1836,1527,Vinte Quatro de Julho,Mozambique,São Sebastião,800,500,300,,16
1836,1528,Leal Português,"West Central Africa and St. Helena, port unspecified","Pernambuco, place unspecified",350,150,200,,
1836,1529,Feiticeira,Luanda,"Pernambuco, place unspecified",442,400,,,
1836,1530,Quatro de Agosto,"Africa, port unspecified","Pernambuco, place unspecified",411,369,,,
1836,1531,Formiga,Luanda,"Pernambuco, place unspecified",333,300,,,
1836,1532,Pizarro,"Africa, port unspecified",Pôrto Seguro,411,369,,,
1837,1533,,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1534,,"Africa, port unspecified","Cuba, port unspecified",411,369,,,
1837,1535,Jacinto,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1536,Cavalo Marinho,"Africa, port unspecified","Cuba, port unspecified",617,542,,,56
1837,1537,Duquesa de Bragança,"Africa, port unspecified","Cuba, port unspecified",535,440,,,
1837,1538,,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1539,,"Africa, port unspecified","Cuba, port unspecified",617,542,,,
1837,1540,Prova,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1541,Margarete,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1542,,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1543,,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1544,Josefina,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1836,1545,Carlota (a) Mosquito,"Whydah, Ouidah","British Honduras, port unspecified",208,203,5,,
1837,1546,Luísa,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1547,Tejo,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1549,Ligeira,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1550,Dulcinéa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1551,Aguila Vengadora,Mozambique,Havana,411,369,,,
1837,1552,Felicidade,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1553,Elisa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1554,Camões,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1555,Liberal,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1556,Primorosa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1558,Forest,"Africa, port unspecified","Cuba, port unspecified",489,423,,,
1837,1559,Dois Irmãos,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1560,Vitória de Cabo Verde,Princes Island,"Cuba, port unspecified",307,277,,,
1837,1561,Sereia,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1562,Paquete de Cabo Verde,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1563,Diligente,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1564,Hércules,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1565,Triunfo,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1837,1566,Maria Teresa,"Lagos, Onim",Havana,490,444,,,
1837,1567,Ligeiro,"Africa, port unspecified","Cuba, port unspecified",467,420,,,
1837,1568,Destemida,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1569,Antonica,Congo River,"Bahamas, port unspecified",206,185,,56,19
1837,1570,Ingemane,"Africa, port unspecified",Havana,91,82,,,
1837,1571,Primera Union,Senegambia or Sierra Leone,Havana,284,270,,,
1837,1572,Feliz,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1573,Dido,"Africa, port unspecified",Havana,472,450,,,
1837,1574,Boca Negra,"Africa, port unspecified",Sagua,442,400,,,
1837,1575,D Manoel de Portugal,Luanda,Rio de Janeiro,600,527,73,44,12
1837,1576,Jove,Luanda,São Sebastião,374,335,,,
1837,1577,Andorinha,Benguela,São Sebastião,349,312,,38,12
1837,1578,Flor de Luanda,Luanda,São Sebastião,330,297,,32,12
1837,1579,Luísa,Luanda,São Sebastião,321,287,,,
1837,1580,Dois de Abril,Luanda,Campos,332,297,,32,10
1837,1581,Adamastor,Quilimane,Santos,800,496,304,,
1837,1582,Elisa,Luanda,Parati,377,337,,37,9
1837,1583,Leão,Luanda,Campos,678,614,,70,12
1837,1584,Rio Tua,Luanda,Ilha Grande,358,319,,35,9
1837,1585,Diligência,Luanda,Macaé,524,475,,27,12
1837,1586,Leão,Quilimane,Ilha de Marambaia,855,572,283,,
1837,1587,Flor de Quilimane,Quilimane,Campos,860,697,163,77,13
1837,1588,Mercúrio,Luanda,Ilha das Palmas,565,512,,34,16
1837,1589,Henriqueta,Luanda,Rio de Janeiro,288,263,,33,12
1837,1590,Jeová,Luanda,Taipu,574,520,,40,13
1837,1591,Ceres,Mozambique,Rio de Janeiro,450,408,,85,16
1837,1592,Constante,Luanda,Campos,766,694,,42,14
1837,1593,Paquete de Luanda,Luanda,São Sebastião,434,393,,38,16
1837,1594,Dois Irmãos,Luanda,Campos,574,520,,40,11
1837,1595,Asseiceira,"West Central Africa and St. Helena, port unspecified",Maricá,460,417,,35,14
1837,1596,Carolina,Quilimane,Ubatuba,1077,976,,70,24
1837,1597,Lealdade,Luanda,Ponta Negro,359,321,,,13
1837,1598,Zenóbia,Benguela,Maricá,349,319,,38,6
1837,1599,Dois de Outubro,Benguela,Parati,566,513,,38,9
1837,1600,Ligeira,Benguela,Mangaratiba,457,411,,70,12
1837,1601,Resolução,Luanda,Taipu,784,710,,51,14
1837,1602,Triunfante,Luanda,Rio de Janeiro,358,322,,50,12
1837,1603,Esperança,"West Central Africa and St. Helena, port unspecified",Maricá,341,304,,,12
1837,1604,Dois Amigos,Luanda,Macaé,507,459,,,15
1837,1605,General Cabreira,Luanda,Rio de Janeiro,372,337,,,14
1837,1606,Felicidade,Luanda,Taipu,378,340,,,15
1837,1607,Ontário,Luanda,São Sebastião,372,337,,,22
1837,1608,Jovem Africana,Luanda,Ponta Negro,344,312,,,15
1837,1609,Vênus,Mozambique,Macaé,812,664,,,15
1837,1610,Esperança,Benguela,Campos,538,487,,,14
1837,1611,S Domingos Enéas,Luanda,Ponta Negro,522,473,,,15
1837,1612,Aleide,"Africa, port unspecified","Pernambuco, place unspecified",508,460,,,
1837,1613,Harmonia,"Africa, port unspecified",Paranaguá,678,614,,,
1837,1614,Flor de Luanda,Luanda,Campos,471,427,,,9
1837,1615,Ribeira Nova,Luanda,Ponta Negro,277,253,,,12
1837,1616,Antenor,Luanda,Ponta Negro,704,638,,,17
1837,1617,Feliz,Princes Island,São Sebastião,340,304,,,14
1837,1618,Josefina,Luanda,Campos,467,420,,,16
1837,1619,Relâmpago,São Tomé,São Sebastião,394,357,,,
1837,1620,Tejo,Quilimane,Campos,462,419,,,
1837,1621,Eugênia,Luanda,Ilha de Itamaric ,416,377,,,
1837,1622,Francisca (a) Estela,Benguela,Mariel,307,277,,,
1837,1623,Ligeira,Princes Island,"Cuba, port unspecified",307,277,,,
1837,1624,Vencedora,Coanza River,"Cuba, port unspecified",29,26,,,14
1837,1625,Manoelita,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1626,Dois Irmãos,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1627,Olímpia,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1628,Name,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1629,Veloz,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1630,Maria Teresa,"Lagos, Onim",Havana,307,277,,,
1837,1631,Matilde,Ambriz,"Cuba, port unspecified",272,259,13,,35
1837,1632,Constituição,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1633,Maria Segunda (a) Socorro,Mozambique,"Cuba, port unspecified",700,509,191,,60
1837,1634,Palmira,Mozambique,"Cuba, port unspecified",650,589,,,30
1837,1635,,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1636,,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1637,Carlota,Mozambique,"Cuba, port unspecified",500,453,,,
1837,1638,Vigilante,"Africa, port unspecified",Santiago de Cuba,20,18,,,
1838,1639,,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1640,Josefina,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1641,Maria Segunda,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1642,Felicidade,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1837,1643,Andorinha,Benguela,Ponta Negro,333,300,,,11
1837,1644,Firmeza,Luanda,Campos,347,317,,,11
1837,1645,Margarida,Luanda,Mangaratiba,365,334,,,
1837,1646,Florinda de Africa,Luanda,Paranaguá,365,327,,,
1837,1647,Jacuí,Luanda,Mangaratiba,351,314,,,12
1837,1648,Flor do Rio,Congo River,São Sebastião,349,314,,,15
1837,1649,Aperceira,Luanda,Paranaguá,482,437,,,
1837,1650,D Manoel de Portugal,Luanda,Maricá,525,476,,,
1837,1651,Terceira,Luanda,Rio de Janeiro province,373,334,,,9
1837,1652,Diligente,Benguela,Rio de Janeiro,338,304,,,17
1837,1653,Brilhante,Ambriz,Rio de Janeiro province,529,479,,,16
1837,1654,Antônio,Luanda,Taipu,571,517,,,19
1837,1655,Novo Destino,Quilimane,Macaé,747,677,,,17
1837,1656,Ninfa,Luanda,Taipu,947,852,,,15
1837,1657,Arsênia,"West Central Africa and St. Helena, port unspecified",São Sebastião,535,477,,,
1837,1658,Angerona,Luanda,Ponta Negro,373,336,,,11
1837,1659,Dois de Fevereiro,Luanda,Ponta Negro,594,538,,,18
1837,1660,Henriqueta,Cap Lopez,Campos,349,319,,,
1837,1661,Quatro de Março,Quilimane,Rio de Janeiro province,1050,950,100,,10
1837,1662,Saudade,Mozambique,Taipu,677,613,,,14
1837,1663,Virtude,Luanda,Ponta Negro,383,350,,,19
1837,1664,Liberal,Luanda,São Sebastião,389,348,,,13
1837,1665,Lusitano,Mozambique,Campos,883,800,,,17
1837,1666,Esperança,Luanda,Ponta Negro,424,382,,,18
1837,1667,Dois de Abril,Luanda,Copacabana,316,283,,,8
1837,1668,Triunfante,Mozambique,Campos,786,712,,,17
1837,1669,Josefina,Benguela,Rio de Janeiro province,333,300,,60,11
1837,1670,Triunfo da Inveja,Quilimane,Campos,898,814,,,18
1837,1671,Rio Tua,"West Central Africa and St. Helena, port unspecified",São Sebastião,336,304,,117,
1837,1672,Maria Segunda,Luanda,Campos,632,573,,,11
1837,1673,Veloz,Luanda,Baía de Sepetiba,753,682,,,15
1838,1674,Con La Boca,Sherbro,St. Thomas,307,277,,,
1838,1675,Feliz Constância,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1838,1676,Tres de Febrero,Luanda,Santiago de Cuba,167,150,,,
1838,1677,Vitória,Bonny,Santiago de Cuba,319,263,,,
1838,1678,Amélia,Mozambique,"Cuba, port unspecified",658,607,,76,35
1838,1679,Dulcinéa,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1680,,"Africa, port unspecified","Cuba, port unspecified",289,250,,,
1838,1681,Goliubchick,"Africa, port unspecified",Matanzas,340,306,,,
1838,1682,Matilde,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1838,1683,Dois Amigos,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1684,Serafina,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1838,1685,Feliz Triunvirato,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1686,Diligente,"Africa, port unspecified",Havana,583,480,,,
1838,1687,Oposicão,Congo River,Havana,416,382,,,17
1838,1688,Camões,"Lagos, Onim","Bahamas, port unspecified",598,569,,55,35
1838,1689,Segunda União,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1690,Buen Viaje,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1691,Constantia,"Africa, port unspecified","Cuba, port unspecified",307,277,,,
1838,1692,Veloz,"Africa, port unspecified","Cuba, port unspecified",311,279,,,
1838,1693,Aquila Vengadera (a) Esplora,Mozambique,"Cuba, port unspecified",560,200,360,,35
1838,1694,Irena,Mozambique,Havana,650,619,,,40
1838,1695,Josefa,São Tomé,"Cuba, port unspecified",490,444,,,
1838,1696,Ligeira,Princes Island,"Cuba, port unspecified",307,277,,,
1838,1697,Fortuna,"Lagos, Onim","Cuba, port unspecified",490,444,,,
1838,1698,Ligeiro,Rio Pongo,"Cuba, port unspecified",490,444,,,
1838,1699,Elisa,"Africa, port unspecified","Cuba, port unspecified",303,271,,,
1838,1700,Empreendedor,Gallinhas,Trinidad de Cuba,447,250,197,,
1838,1701,Tirso,Cape Verde Islands,Trinidad de Cuba,307,277,,,
1838,1702,Tirso,Madagascar,Trinidad de Cuba,490,444,,,
1838,1703,Rosália,"Africa, port unspecified",Trinidad de Cuba,330,272,,,
1838,1704,Vitória,"Africa, port unspecified",Matanzas,307,277,,,
1838,1709,Vigilante,"Africa, port unspecified","Cuba, port unspecified",552,500,,,
1838,1710,Gabriel (a) Dois Amigos,Bimbia,"Cuba, port unspecified",410,340,70,,
1838,1711,Ala,"Africa, port unspecified","Cuba, port unspecified",222,200,,,
1838,1712,Salomé,Gallinhas,"Cuba, port unspecified",327,253,74,,
1838,1713,Lavandeira,Rio Pongo,Guanimar,222,200,,,
1838,1714,Palmela,"Africa, port unspecified","Cuba, port unspecified",490,444,,,
1838,1715,Montana Al Montauhesa,"Africa, port unspecified","Cuba, port unspecified",237,213,,,
1838,1716,Provisional (a) Sin Igual,"Lagos, Onim","Cuba, port unspecified",328,240,88,40,
1838,1717,Constância,Gallinhas,"Cuba, port unspecified",237,213,,,
1838,1718,Teresa,"Africa, port unspecified","Cuba, port unspecified",397,360,,,
1838,1719,Amália,"Africa, port unspecified",Trinidad de Cuba,222,200,,,
1838,1720,NS da Boa Viagem,"Africa, port unspecified","Cuba, port unspecified",237,213,,,
1838,1721,Escorpião (a) Voador,"Africa, port unspecified",Santiago de Cuba,297,269,,,
1838,1722,Flor de Luanda,Cabinda,Maricá,321,289,,55,16
1838,1723,César,Ambriz,Maricá,260,207,53,,
1838,1724,Brilhante,Ambriz,Rio de Janeiro,250,250,0,34,
1838,1725,Dois Amigos,Quilimane,Baía de Sepetiba,786,712,,,
1838,1726,Júpiter,Luanda,Ilha Grande,418,373,,,
1838,1727,Generoso,Quilimane,Baía de Sepetiba,883,800,,,
1838,1728,Doze de Outubro,Luanda,Copacabana,358,322,,,
1838,1729,Inocente,Luanda,Taipu,470,419,,,
1838,1730,Fortuna da África,Mozambique,Rio de Janeiro province,759,712,,,
1838,1731,Pompeo,Luanda,Copacabana,464,420,,,16
1838,1732,Silêncio,"West Central Africa and St. Helena, port unspecified",Macaé,565,504,,,16
1838,1733,Leão,Benguela,Rio de Janeiro,662,600,,,
1838,1734,Águia,Luanda,Campos,528,473,,,
1838,1735,Maria Carlota,Luanda,Rio de Janeiro,915,829,,,
1838,1736,Príncipe Agosto,Cabinda,Ponta Negro,773,700,,,
1838,1737,Carolina,Quilimane,Campos,1159,1050,,,
1838,1738,Aventureiro,Luanda,Ilha Grande,607,550,,,
1838,1739,Adamastor,Quilimane,São Sebastião,482,445,,,
1838,1740,Resolução,Mozambique,Ilha Grande,773,700,,,
1838,1741,Carolina,Luanda,Rio de Janeiro province,311,280,,,
1838,1742,,Luanda,Ilha Grande,659,597,,,
1838,1743,General Cabreira,Luanda,Baía de Sepetiba,372,337,,,
1838,1744,Jeová,Luanda,Ilha Grande,478,433,,,
1838,1745,Marquês de Pombal,Luanda,Ilha de Paquetá ,107,97,,,
1838,1746,Cingapura,Luanda,Ponta Negro,745,675,,,
1838,1747,Duas Irmãs,Luanda,Macaé,362,328,,,
1838,1748,Paquete de Luanda,Congo River,Ilha Grande,352,314,,,
1838,1749,Cintra,Mozambique,São Sebastião,827,756,,,
1838,1750,Andorinha,Benguela,Taipu,330,297,,,
1838,1751,,Luanda,Ponta Negro,340,304,,,
1838,1752,Feliz,Princes Island,Baía de Botafogo,354,321,,,
1838,1753,Oito de Dezembro,Benguela,Ilha Grande,382,342,,,
1838,1754,Felicidade,Luanda,São Sebastião,355,322,,,
1838,1755,Especulador,Benguela,Ilha Grande,345,309,,,
1838,1756,Esperança,Cabinda,Ilha Grande,442,400,,,
1838,1757,Jove,Quilimane,Campos,483,432,,,
1838,1758,Relâmpago,Congo River,Rio de Janeiro,419,380,,,
1838,1759,Angerona,Luanda,Copacabana,371,334,,,
1838,1760,Brilhante,Luanda,Macaé,449,407,,,
1838,1761,Providência,Mozambique,Ilha Grande,472,422,,,
1838,1762,Comodoro,Quilimane,Taipu,425,385,,,18
1838,1763,Rosa,Luanda,Rio de Janeiro province,99,90,,,
1838,1764,Dois de Fevereiro,Luanda,Macaé,358,324,,,
1838,1765,Veloz,Luanda,Ponta Negro,524,475,,,
1838,1766,Tentador,Luanda,Rio de Janeiro,345,313,,,
1838,1767,Asseiceira,Cabinda,Rio de Janeiro province,442,400,,,16
1838,1768,Júpiter,Cabinda,Rio de Janeiro province,481,436,,,
1838,1769,Belona,Congo River,Campos,416,374,,,
1838,1770,Dois de Abril,Congo River,São Sebastião,533,477,,,
1838,1771,Arsênia,Cabinda,Ilha Grande,561,500,,,
1838,1772,General Cabreira,Luanda,Ponta Negro,166,150,,,
1838,1773,Josefina,Benguela,Rio de Janeiro,383,345,,,
1838,1774,Palas,"Africa, port unspecified",Taipu,578,516,,,
1838,1775,Inocente,Luanda,Ilha Grande,355,317,,,
1838,1776,Maria Segunda,"Africa, port unspecified","Cuba, port unspecified",240,216,,,
1838,1777,Chiva,"Africa, port unspecified","Cuba, port unspecified",156,140,,,
1838,1778,Cerca,"Africa, port unspecified",Matanzas,307,277,,,
1838,1779,Escorpião,Mayumba,"Bahamas, port unspecified",212,212,0,57,
1838,1780,Trovão,Princes Island,"Cuba, port unspecified",587,528,,,
1839,1781,Amália (a) Caballo Marino,Mozambique,Mariel,710,510,200,,
1839,1782,Dichosa,Luanda,"Cuba, port unspecified",244,220,,,
1839,1783,Vênus (a) Duquesa de Bragança,Mozambique,Havana,1120,870,250,,
1839,1784,Josefina,"Lagos, Onim","Cuba, port unspecified",252,227,,,
1839,1785,Brilhante,"Africa, port unspecified",Santiago de Cuba,259,233,,,
1839,1786,Segunda União,Princes Island,"Cuba, port unspecified",191,172,,,
1839,1787,Havre,"Africa, port unspecified","Cuba, port unspecified",596,540,,,
1839,1788,Felicidade,"Africa, port unspecified",Havana,262,250,,,
1839,1789,Primogenito,"Africa, port unspecified","Cuba, port unspecified",567,467,,,
1839,1790,Felicidade,"Africa, port unspecified","Cuba, port unspecified",493,447,,,
1839,1791,Matilde,"Africa, port unspecified","Cuba, port unspecified",327,296,,,
1839,1792,La Bandeira,Gallinhas,Havana,254,229,,,
1839,1793,Elisa,Cape Verde Islands,"Cuba, port unspecified",129,116,,,
1839,1794,Socorro (a) D Maria Segunda,Mozambique,Havana,820,570,250,,
1839,1795,Ulisses,"Whydah, Ouidah","Cuba, port unspecified",290,263,,,
1839,1796,Ligeira,"Lagos, Onim","Cuba, port unspecified",307,277,,,
1839,1797,Constituição,"Africa, port unspecified","Cuba, port unspecified",237,213,,,
1839,1798,Josefina,"Africa, port unspecified","Cuba, port unspecified",261,235,,,
1839,1799,Liberal,"Africa, port unspecified","Cuba, port unspecified",284,257,,,
1839,1800,Libertad (a) Victoria,"Africa, port unspecified",Matanzas,312,280,,,
1838,1801,Diligente,Benguela,Rio de Janeiro,302,302,0,152,15
1838,1802,Feliz,Benguela,Rio de Janeiro,242,235,7,,
1838,1803,Jovem Luísa,"Africa, port unspecified",Sagua,323,291,,,
1838,1804,Madalena,"Africa, port unspecified",Sagua,243,219,,,
1838,1805,Esperança,Princes Island,Sagua,467,420,,,
1838,1806,General Espartero,Princes Island,Sagua,506,455,,,
1838,1807,Triunfo de Luanda,"Africa, port unspecified",Sagua,384,345,,,
1838,1808,Escorpião,"Africa, port unspecified",Sagua,304,273,,,
1838,1809,Esperança,"Africa, port unspecified",Sagua,478,430,,,
1838,1810,Henriqueta,"Africa, port unspecified",Sagua,144,130,,,
1838,1811,Brilhante,"Windward Coast, place unspecified",Sagua,267,240,,,
1838,1812,Maria Segunda,Luanda,Baía de Sepetiba,466,417,,,
1838,1813,Maria Virgínia,São Tomé,São Sebastião,442,394,,,
1838,1814,Novo Destino,Quilimane,Campos,787,713,,,
1838,1815,Almeida,Luanda,Rio de Janeiro,556,504,,,
1838,1816,Firmeza,Congo River,Ponta Negro,524,475,,,
1838,1817,Onze de Novembro,Luanda,Ilha Grande,501,454,,,
1838,1818,Prontidão,São Tomé,Ilha Grande,662,600,,,
1838,1819,Ganges,Quilimane,Ponta Negro,796,721,,,
1838,1820,Pensamento Feliz,Benguela,Ponta Negro,351,321,,,
1838,1821,Valoroso,Luanda,Copacabana,85,77,,,
1838,1822,Rosalina,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro,467,417,,,
1838,1823,Lealdade,Luanda,Rio de Janeiro,399,357,,,
1838,1824,Flor de Luanda,Luanda,Rio de Janeiro,423,377,,,
1838,1825,Esperança,Cabinda,Rio de Janeiro,673,600,,,
1838,1826,Treze de Junho,Benguela,Baía de Botafogo,303,285,,,
1838,1827,Generoso Feliz,Quilimane,Ilha Grande,800,725,,,
1838,1828,Zenóbia,Luanda,Baía de Botafogo,326,298,,,
1838,1829,Minerva,Luanda,Ponta Negro,338,304,,,
1838,1830,Andorinha,Luanda,Baía de Botafogo,326,293,,,
1838,1831,Flor do Rio,Cabinda,Ponta Negro,463,413,,,
1838,1832,Dois Irmãos,Luanda,Ilha Grande,632,573,,,
1838,1833,Triunfo,Luanda,Campos,340,304,,,
1838,1834,Pompeo,Congo River,São Sebastião,573,519,,,
1838,1835,Fortuna,Quilimane,Campos,664,602,,,
1838,1836,Triunfo da Inveja,Quilimane,Rio de Janeiro,795,720,,,
1838,1837,Quatro de Março,Quilimane,Ponta Negro,883,800,,,
1838,1838,Ligeiro,Benguela,Rio de Janeiro,234,209,,,
1838,1839,Giobe,Benguela,Rio de Janeiro,497,450,,,
1838,1840,Antenor,Luanda,Rio de Janeiro,662,600,,,
1838,1841,Jacuí,Benguela,Rio de Janeiro province,307,277,,,
1838,1842,Dois de Fevereiro,Luanda,Rio de Janeiro,442,400,,,
1838,1843,Mercúrio,Luanda,Rio de Janeiro,386,350,,,
1838,1844,Ontário,Luanda,Rio de Janeiro province,497,450,,,
1838,1845,Ascânio,Cabinda,Campos,423,380,,80,
1838,1846,Rio Frio,Luanda,Macaé,434,390,,,
1838,1847,Fortuna da África,Mozambique,Campos,475,430,,,
1838,1848,Relógio,Luanda,Rio de Janeiro,478,433,,,
1839,1849,Relógio,Luanda,Rio de Janeiro,478,433,,,
1839,1850,Relógio,Luanda,Rio de Janeiro,478,433,,,
1839,1851,Sin Igual,"Africa, port unspecified","Cuba, port unspecified",373,335,,,
1839,1852,Ligeira,Cape Verde Islands,"Cuba, port unspecified",259,233,,,
1839,1853,Macsismo,Mozambique,"Cuba, port unspecified",400,360,,,
1839,1854,Vitória,"Africa, port unspecified","Cuba, port unspecified",315,283,,,
1839,1855,Trindade de Luanda (a) Triunfo de Luanda,Mozambique,"Cuba, port unspecified",490,444,,,
1839,1856,Serra do Pilar,"Lagos, Onim",Isla de Pinas,255,198,57,78,
1839,1857,Dois Amigos,São Tomé,"Cuba, port unspecified",459,413,,,
1839,1858,Josefina,Congo River,"Cuba, port unspecified",267,240,,,
