Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Captive deaths during crossing,Duration of captives' crossing (in days),Crew at voyage outset
1837,3072,Incompreensível,Mozambique,Freetown,785,596,189,73,22
1837,3073,Deixa Falar,"Lagos, Onim",Freetown,210,186,24,42,11
1838,3074,Gratidão,"Lagos, Onim",Freetown,453,380,73,49,25
1837,3075,Camões,Benin,Freetown,138,116,22,43,20
1837,3077,Veloz,,,,,,,21
1839,3080,Empreendedor,,,,,,,32
1836,3082,Empreendedor,"Whydah, Ouidah","Bahia, place unspecified",352,325,,,
1837,3083,Empreendedor,"Whydah, Ouidah","Bahia, place unspecified",352,325,,22,
1839,3085,Maria Carlota,,,,,,,22
1839,3086,Recuperador,,,,,,,17
1839,3087,Pompeo,,,,,,,
1839,3088,NS da Conceição,,,,,,,12
1839,3089,Júlia,,,,,,,16
1838,3090,Sete de Abril (a) Mary Cushing,Bights,"Bahia, place unspecified",388,362,,,
1839,3091,Jacuí,Novo Redondo,Freetown,203,197,6,23,12
1839,3092,Simpatia,,,,,,,14
1839,3093,Intrépido,,,,,,,38
1839,3094,Sociedade Feliz,,,,,,,15
1839,3095,Calíope,,,,,,,24
1839,3096,Augusto,,,,,,,36
1839,3099,Firmeza,,,,,,,33
1839,3100,Pampeiro,,,,,,,26
1839,3101,Golfinho,,,,,,,17
1839,3102,Destemida,"Lagos, Onim",Freetown,32,29,,42,21
1839,3152,Escorpião,Quilimane,Cape of Good Hope,716,695,21,13,
1839,3163,Angerona,,,,,,,16
1839,3164,Netuno,,,,,,,
1836,3286,Alert,Mozambique,,617,542,,,50
1836,3287,Drogenese,Mozambique,,490,444,,,
1837,3289,Invincible,"Africa, port unspecified","Bahamas, port unspecified",200,50,150,34,
1835,3292,,Luanda,Pará,554,507,,,
1839,3299,Veloz,,,,,,,16
1839,3303,Dois Irmãos,,,,,,,
1839,3304,Bonfim,,,,,,,
1839,3305,Vigilante,,,,,,,
1839,3306,Governador Vidal,,,,,,,
