Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Total disembarked,Duration of captives' crossing (in days),Captain's name
1830,1070,Primavera,Benguela,Rio de Janeiro,256,221,35,"Ferreira, Joaquim Manoel"
1830,1071,Marquês de Pombal,Ambriz,Rio de Janeiro,166,163,33,"?, Manoel Jose da"
1830,1072,Marcial,Cabinda,Rio de Janeiro,447,417,33,"Rosa, J L da___"
1830,1073,Lobo,Costa Leste Occidental,Rio de Janeiro,99,79,30,"Poltieres, Luís Clemente"
1830,1074,D Ana,Luanda,Rio de Janeiro,337,326,35,"Castilhos, Domingos Pires"
1830,1075,Bela Brasileira,Cabinda,Rio de Janeiro,486,476,37,"Santos, José Antônio dos"
1830,1076,Espadarte,Cabinda,Rio de Janeiro,236,233,25,"Ferreira, L de C"
1830,1077,Amizade Feliz,Cabinda,Rio de Janeiro,252,252,31,"Moraes, Francisco Xavier de"
1830,1078,Velha de Deus,Cabinda,Rio de Janeiro,180,180,30,"Teixeira, José Antônio"
1830,1079,Boa União,Cabinda,Rio de Janeiro,288,262,31,"Silva, Caetano Dias da"
1830,1080,Audaz,Cabinda,Rio de Janeiro,512,512,51,"Mauriti, J M"
1830,1081,Leopardo,Benguela,Rio de Janeiro,339,296,25,
1830,1082,Emília,Luanda,Rio de Janeiro,517,448,33,"Faria, Gregório José de"
1830,1083,Conde do Rio Pardo,Inhambane,Rio de Janeiro,572,441,71,"Fidalgo, Francisco de Paulo"
1830,1084,Independente,Cabinda,Rio de Janeiro,416,410,23,"Pereira, Antônio da Costa"
1830,1085,Ativo,Luanda,Rio de Janeiro,562,530,33,"Amaral, Miguel Ribeiro do"
1830,1086,Flor do Rio,Cabinda,Rio de Janeiro,514,497,30,"Cupertino, José Dias"
1830,1087,Trajano,Benguela,Rio de Janeiro,564,530,26,"Araújo, Manoel Francisco de"
1830,1088,Urânia,Benguela,Rio de Janeiro,236,222,27,"Monteiro, Luís Queiróz"
1830,1089,Esperança,Ambriz,Rio de Janeiro,147,146,,"Andrade, Manoel dos Santos de"
1830,1090,Quatro Amigos,Benguela,Rio de Janeiro,445,436,28,"Paiva, João Martins de"
1830,1091,Império do Brasil,Quilimane,Rio de Janeiro,425,362,66,"Miranda, Joaquim de Santana de Garcia de"
1830,1092,Susana,Luanda,Rio de Janeiro,417,399,28,"Teixeira, Antônio José"
1830,1093,Incomparável,Mozambique,Rio de Janeiro,440,394,91,"Alves, Estevão José"
1830,1094,Nova Carolina,Luanda,Rio de Janeiro,305,272,31,"Barros, João Correa de"
1830,1095,Astrea,Mozambique,Rio de Janeiro,864,605,75,"Alves, Augusto Fernandes"
1830,1096,Novo Triunfo,Luanda,Rio de Janeiro,471,408,34,"Guimarães, Antônio José Francisco"
1830,1097,Mariana,Luanda,Rio de Janeiro,303,284,38,"Bastos, Jose de Carvalho"
1830,1098,Rainúnculo,Cabinda,Rio de Janeiro,298,269,52,"Rodrigues, Manoel Machado"
1830,1099,Maria,Benguela,Rio de Janeiro,346,315,40,"Santos, Manoel Francisco dos"
1830,1100,Caçador,Luanda,Rio de Janeiro,741,679,40,"Cruz, Miguel Joaquim da"
1830,1101,Penha,Luanda,Rio de Janeiro,352,324,42,"Oliveira, Antônio Barroso de"
1830,1102,Aurora,Malembo,Rio de Janeiro,159,138,63,"Mota, Henrique Rodrigues"
1830,1103,Três Corações,Luanda,Rio de Janeiro,508,434,38,"Fontes, Estevão"
1830,1104,Águia da América,Lourenço Marques,Rio de Janeiro,599,591,77,"Bastos, Manoel Rodrigues"
1830,1105,Esperança,Luanda,Rio de Janeiro,540,465,45,"Pereira, Joaquim Manoel"
1830,1106,Aviso Oriental,Mozambique,Rio de Janeiro,238,209,62,"Lima, José Pereira Ribeiro"
1830,1107,Fluminense,Lourenço Marques,Rio de Janeiro,678,600,76,"Machado, Francisco Domingos"
1830,1108,S Antônio,Inhambane,Rio de Janeiro,288,283,79,"Malho, José Caetano"
1830,1109,Zéfiro,Inhambane,Rio de Janeiro,867,677,81,"Maria, Luiz Jose"
1830,1110,Dáfne,Sofala,Rio de Janeiro,289,188,99,"Moura, Jose Moreira de"
1830,1138,NS da Conceição,Cabinda,"Bahia, place unspecified",183,163,23,"Pereira, A J"
1830,1139,Primeira Estrela,Malembo,"Bahia, place unspecified",119,107,33,"Ferreira, J dos S"
1830,1140,S Cruz,Malembo,"Bahia, place unspecified",128,126,35,"Carneiro, J F"
1830,1141,Dois Amigos,Luanda,"Bahia, place unspecified",287,278,26,"Belém, João Maurício"
1830,1142,Feliz Baiano,Ambriz,"Bahia, place unspecified",632,557,25,"Braga, J M"
1830,1144,Ligeira,Malembo,"Bahia, place unspecified",397,392,35,"Sarmento, Manoel Pereira"
1830,1145,Bonfim,Ambriz,"Bahia, place unspecified",480,438,21,"Fonseca, J J da"
1830,1146,Paquete Africano,Cabinda,"Bahia, place unspecified",346,340,23,"Neto, Miguel Antônio"
1830,1147,Terceira Rosália,Cabinda,"Bahia, place unspecified",277,253,24,"Santos, J V dos"
1830,1148,Triunfo da Inveja,Malembo,"Bahia, place unspecified",189,185,31,"Neves, M J"
1830,1149,Esperança,Cabinda,"Bahia, place unspecified",466,422,21,"Rios, José da Silva"
1830,1150,Maria Teresa,Malembo,"Bahia, place unspecified",335,315,28,"Rodrigues, Tomé Joaquim"
1830,1151,Orfeu,Cabinda,"Bahia, place unspecified",257,256,22,"Silva, J da"
1830,1153,Felicidade,Cabinda,"Bahia, place unspecified",259,258,27,"Barbosa, J"
1830,1154,Maria,Cabinda,"Bahia, place unspecified",330,309,28,"Souza, F de"
1830,1155,Fortuna,Malembo,"Bahia, place unspecified",305,268,33,"Pereira, Jacinto Antônio"
1830,1156,Temerário,Cabinda,"Bahia, place unspecified",343,320,30,"Sefália, José Maria dos Santos"
1830,1157,Felicidade,Cabinda,"Bahia, place unspecified",499,490,26,"Santos, A V dos"
